dessert_category,region,query,name,road_address,jibun_address,telephone,external_link,category_text,mapx,mapy,longitude,latitude,geocode_error
saltbread,daegu,대구 화원역 소금빵,파차마마 베이커리,서울특별시 용산구 한강대로62다길 9 1층,서울특별시 용산구 한강로1가 205-1 1층,,https://www.instagram.com/pachamama.bakery,"카페,디저트>베이커리",1269740897,375332867,126.9741092,37.5333368,
saltbread,daegu,대구 화원역 소금빵,카키문,"서울특별시 용산구 백범로99길 40 102동 106, 107호 카키문","서울특별시 용산구 한강로2가 426 102동 106, 107호 카키문",,https://www.instagram.com/khakimooncoffee,"음식점>카페,디저트",1269713322,375351968,126.9715459,37.5355645,
saltbread,daegu,대구 만평역 소금빵,빵학개론 행신역점,경기도 고양시 덕양구 용현로 3 1층101호,경기도 고양시 덕양구 행신동 766-2 1층101호,,,"카페,디저트>베이커리",1268356470,376130797,126.835647,37.6130797,
saltbread,daegu,대구 만평역 소금빵,아앰브레드행신점,경기도 고양시 덕양구 충경로 48,경기도 고양시 덕양구 행신동 757,,https://www.instagram.com/iambread3894,"카페,디저트>베이커리",1268351207,376153494,126.8349743,37.6152521,
saltbread,daegu,대구 만평역 소금빵,크림커피앤디저트,경기도 고양시 덕양구 무원로36번길 59 1층 크림커피앤디저트,경기도 고양시 덕양구 행신동 720-1 1층 크림커피앤디저트,,http://instagram.com/cream_c.and.d,"음식점>카페,디저트",1268327265,376167467,126.8327265,37.6167467,
saltbread,daegu,대구 만평역 소금빵,펜시 베이커리앤카페,경기도 고양시 덕양구 무원로 50-4 1층,경기도 고양시 덕양구 행신동 726-1 1층,,https://www.instagram.com/fancy_bakerycafe,"카페,디저트>베이커리",1268326644,376171549,126.8326699,37.6171104,
saltbread,daegu,대구 만평역 소금빵,다니당,경기도 고양시 덕양구 용현로 57 1층 다니당,경기도 고양시 덕양구 행신동 743-9 1층 다니당,,https://blog.naver.com/ekdls3833,"음식점>카페,디저트",1268356918,376179660,126.8356481,37.6179712,
saltbread,daegu,대구 동구청 소금빵,조니베이커리,경기도 고양시 일산동구 백마로 195 1층 1148호,경기도 고양시 일산동구 장항동 869 1층 1148호,,https://www.instagram.com/johnny_bakery_?igsh=cnNwdXFyYndodXB5,"카페,디저트>베이커리",1267711069,376546045,126.7717878,37.6548218,
saltbread,daegu,대구 동구청 소금빵,멜팅브레드,경기도 고양시 일산동구 정발산로 24 B-128호,경기도 고양시 일산동구 장항동 868 B-128호,,,"카페,디저트>베이커리",1267731328,376544548,126.7721369,37.6557939,
saltbread,daegu,대구 동구청 소금빵,트리플에이커피 일산MBC점,경기도 고양시 일산동구 정발산로 15 드림월드빌딩 106호,경기도 고양시 일산동구 장항동 863-1 드림월드빌딩 106호,,https://www.instagram.com/triple_a_ilsan/,"음식점>카페,디저트",1267703371,376562411,126.7705699,37.6564196,
saltbread,daegu,대구 동구청 소금빵,폼드팡베이커리 일산점,경기도 고양시 일산동구 정발산로 38 이시턴시티 1층 109호,경기도 고양시 일산동구 장항동 855 이시턴시티 1층 109호,,,"카페,디저트>베이커리",1267730562,376569360,126.7731559,37.6567215,
saltbread,daegu,대구 동구청 소금빵,김민성셰프베이커리,경기도 고양시 일산동구 정발산로 43-20 센트럴프라자1층 김민성셰프베이커리,경기도 고양시 일산동구 장항동 846 센트럴프라자1층 김민성셰프베이커리,,,"카페,디저트>베이커리",1267734506,376586538,126.773416,37.6584064,
